Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
755|G4652400|COMÉRCIO ATACADISTA DE COMPONENTES ELETR|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
738|G4646001|COMÉRCIO ATACADISTA DE COSMÉTICOS E PROD|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
690|G4623102|COMÉRCIO ATACADISTA DE COUROS, LÃS, PELE|561,88|575,48|631,1865|684,3324|715,8801|746,2334
778|G4683400|COMÉRCIO ATACADISTA DE DEFENSIVOS AGRÍCO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
784|G4686902|COMÉRCIO ATACADISTA DE EMBALAGENS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
580|D3513100|COMÉRCIO ATACADISTA DE ENERGIA ELÉTRICA|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
753|G4651601|COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE I|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
742|G4649401|COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
701|G4632002|COMÉRCIO ATACADISTA DE FARINHAS, AMIDOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
764|G4672900|COMÉRCIO ATACADISTA DE FERRAGENS E FERRA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
748|G4649407|COMÉRCIO ATACADISTA DE FILMES, CDS, DVDS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
789|G4689302|COMÉRCIO ATACADISTA DE FIOS E FIBRAS TÊX|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
703|G4633801|COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS,|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
714|G4636201|COMÉRCIO ATACADISTA DE FUMO BENEFICIADO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
692|G4623104|COMÉRCIO ATACADISTA DE FUMO EM FOLHA NÃO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
777|G4682600|COMÉRCIO ATACADISTA DE GÁS LIQÜEFEITO DE|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
735|G4645101|COMÉRCIO ATACADISTA DE INSTRUMENTOS E MA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
751|G4649410|COMÉRCIO ATACADISTA DE JÓIAS, RELÓGIOS E|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
